Symbol,Name,Industry,IndustryCode
RYAAY,Ryanair Holdings PLC ADR,운송업,524060
APP,Applovin Corp Class A,소프트웨어 및 IT서비스,572010
MDB,MongoDB Inc Class A,소프트웨어 및 IT서비스,572010
CDW,CDW Corp,소프트웨어 및 IT서비스,572010
VRSN,Verisign Inc,소프트웨어 및 IT서비스,572010
SIRI,Sirius XM Holdings Inc,미디어 및 출판,533020
TSCO,Tractor Supply Co,전문품 상점,534030
RPRX,Royalty Pharma PLC Class A,제약,562010
NTRS,Northern Trust Corp,투자은행 및 서비스,551020
ON,ON Semiconductor Corp,반도체 및 반도체 장비,571010
TER,Teradyne Inc,반도체 및 반도체 장비,571010
SGEN,Seagen Inc,생명과학 및 메디컬 리서치,562020
SWKS,Skyworks Solutions Inc,반도체 및 반도체 장비,571010
DOCU,DocuSign Inc,소프트웨어 및 IT서비스,572010
HBAN,Huntington Bancshares Inc,은행,551010
GMAB,Genmab A/S ADR,생명과학 및 메디컬 리서치,562020
FANG,Diamondback Energy Inc,오일 및 가스,501020
STX,Seagate Technology Holdings PLC,"컴퓨터, 전화 및 가전제품",571060
LBRDK,Liberty Broadband Corp Series C,미디어 및 출판,533020
GRAB,Grab Holdings Ltd Class A,소프트웨어 및 IT서비스,572010
JBHT,J B Hunt Transport Services Inc,화물 및 물류 서비스,524050
TW,Tradeweb Markets Inc Class A,투자은행 및 서비스,551020
ICLR,ICON PLC,생명과학 및 메디컬 리서치,562020
SBNY,Signature Bank,은행,551010
ROKU,Roku Inc Class A,미디어 및 출판,533020
SSNC,SS&C Technologies Holdings Inc,소프트웨어 및 IT서비스,572010
WMG,Warner Music Group Corp Class A,미디어 및 출판,533020
EXPD,Expeditors International of Washington Inc,화물 및 물류 서비스,524050
HZNP,Horizon Therapeutics PLC,제약,562010
PFG,Principal Financial Group Inc,보험,553010
TTWO,Take-Two Interactive Software Inc,레저 상품,532050
ULTA,Ulta Beauty Inc,전문품 상점,534030
VIAC,ViacomCBS Inc Class B,미디어 및 출판,533020
POOL,Pool Corp,레저 상품,532050
ETSY,ETSY Inc,다양한 소매업,534020
NTAP,NetApp Inc,"컴퓨터, 전화 및 가전제품",571060
CINF,Cincinnati Financial Corp,보험,553010
MPWR,Monolithic Power Systems Inc,반도체 및 반도체 장비,571010
SPLK,Splunk Inc,소프트웨어 및 IT서비스,572010
AKAM,Akamai Technologies Inc,소프트웨어 및 IT서비스,572010
ZI,ZoomInfo Technologies Inc Class A,소프트웨어 및 IT서비스,572010
WDC,Western Digital Corp,"컴퓨터, 전화 및 가전제품",571060
HOLX,Hologic Inc,헬스케어 장비 및 용품,561010
TRMB,Trimble Inc,소프트웨어 및 IT서비스,572010
VTRS,Viatris Inc,제약,562010
NUAN,Nuance Communications Inc,소프트웨어 및 IT서비스,572010
CG,Carlyle Group Inc,투자은행 및 서비스,551020
ACGL,Arch Capital Group Ltd,보험,553010
ENPH,Enphase Energy Inc,재생에너지,502010
DISH,DISH Network Corp Class A,미디어 및 출판,533020
PPD,PPD Inc,생명과학 및 메디컬 리서치,562020
CHKP,Check Point Software Technologies Ltd,소프트웨어 및 IT서비스,572010
XP,Xp Inc Class A,투자은행 및 서비스,551020
INCY,Incyte Corp,생명과학 및 메디컬 리서치,562020
TCOM,Trip.com Group Ltd ADR,호텔 및 엔터테인먼트,533010
ALNY,Alnylam Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
ENTG,Entegris Inc,반도체 및 반도체 장비,571010
AFRM,Affirm Holdings Inc Class A,소프트웨어 및 IT서비스,572010
YNDX,Yandex NV Class A,소프트웨어 및 IT서비스,572010
CFLT,Confluent Inc Class A,소프트웨어 및 IT서비스,572010
LKQ,LKQ Corp,자동차 및 자동차 부품,531010
NICE,Nice Ltd ADR,소프트웨어 및 IT서비스,572010
DKNG,DraftKings Inc Class A,호텔 및 엔터테인먼트,533010
BMRN,Biomarin Pharmaceutical Inc,제약,562010
PODD,Insulet Corp,헬스케어 장비 및 용품,561010
CZR,Caesars Entertainment Inc,호텔 및 엔터테인먼트,533010
NLOK,NortonLifeLock Inc,소프트웨어 및 IT서비스,572010
LNT,Alliant Energy Corp,전기 유틸리티,591010
QRVO,Qorvo Inc,반도체 및 반도체 장비,571010
IEP,Icahn Enterprises LP Unit,오일 및 가스,501020
TECH,Bio-Techne Corp,생명과학 및 메디컬 리서치,562020
ARGX,argenx SE ADR,생명과학 및 메디컬 리서치,562020
BILI,Bilibili Inc ADR,소프트웨어 및 IT서비스,572010
MKTX,Marketaxess Holdings Inc,투자은행 및 서비스,551020
ABMD,ABIOMED Inc,헬스케어 장비 및 용품,561010
XM,Qualtrics International Inc Class A,소프트웨어 및 IT서비스,572010
PTC,PTC Inc,소프트웨어 및 IT서비스,572010
CHRW,CH Robinson Worldwide Inc,화물 및 물류 서비스,524050
FFIV,F5 Inc,소프트웨어 및 IT서비스,572010
UAL,United Airlines Holdings Inc,운송업,524060
NDSN,Nordson Corp,"건설장비 및 대형차, 기차, 배",521020
HAS,Hasbro Inc,레저 상품,532050
LOGI,Logitech International SA,"컴퓨터, 전화 및 가전제품",571060
EXAS,Exact Sciences Corp,생명과학 및 메디컬 리서치,562020
LPLA,LPL Financial Holdings Inc,투자은행 및 서비스,551020
CTXS,Citrix Systems Inc,소프트웨어 및 IT서비스,572010
OTEX,Open Text Corp,소프트웨어 및 IT서비스,572010
LYFT,Lyft Inc Class A,소프트웨어 및 IT서비스,572010
FWONK,Liberty Media Corp Series C,미디어 및 출판,533020
FCNCA,First Citizens BancShares Inc (Delaware) Class A,은행,551010
OLPX,Olaplex Holdings Inc,"개인, 가정 용품 및 서비스",542010
HST,Host Hotels & Resorts Inc,주택 및 상업용 리츠,601020
PLUG,Plug Power Inc,재생에너지,502010
JKHY,Jack Henry & Associates Inc,소프트웨어 및 IT서비스,572010
UHAL,Amerco,화물 및 물류 서비스,524050
FOXA,Fox Corp Class A,미디어 및 출판,533020
MASI,Masimo Corp,헬스케어 장비 및 용품,561010
MORN,Morningstar Inc,전문 및 상업 서비스,522030
HTHT,Huazhu Group Ltd ADR,호텔 및 엔터테인먼트,533010
REG,Regency Centers Corp,주택 및 상업용 리츠,601020
EWBC,East West Bancorp Inc,은행,551010
CGNX,Cognex Corp,"건설장비 및 대형차, 기차, 배",521020
XRAY,DENTSPLY SIRONA Inc,헬스케어 장비 및 용품,561010
SEDG,Solaredge Technologies Inc,재생에너지,502010
CONE,CyrusOne Inc,주택 및 상업용 리츠,601020
IAC,IAC/Interactivecorp,소프트웨어 및 IT서비스,572010
BZ,Kanzhun Ltd ADR,소프트웨어 및 IT서비스,572010
MCFE,Mcafee Corp Class A,소프트웨어 및 IT서비스,572010
SOFI,SoFi Technologies Inc,은행,551010
HOOD,Robinhood Markets Inc Class A,핀테크,573010
GRUB,Just Eat Takeaway.com NV ADR,소프트웨어 및 IT서비스,572010
APA,APA Corp (US),오일 및 가스,501020
BSY,Bentley Systems Inc Class B,소프트웨어 및 IT서비스,572010
LAMR,Lamar Advertising Co Class A,주택 및 상업용 리츠,601020
AAL,American Airlines Group Inc,운송업,524060
HCP,Hashicorp Inc Class A,소프트웨어 및 IT서비스,572010
LSXMK,Liberty Media Corp Series C,미디어 및 출판,533020
STLD,Steel Dynamics Inc,메탈&마이닝,512010
MIDD,Middleby Corp,가정용품,532040
GLPI,Gaming and Leisure Properties Inc,주택 및 상업용 리츠,601020
TPG,TPG Inc Class A,투자은행 및 서비스,551020
PCTY,Paylocity Holding Corp,소프트웨어 및 IT서비스,572010
HSIC,Henry Schein Inc,헬스케어 장비 및 용품,561010
RGEN,Repligen Corp,헬스케어 장비 및 용품,561010
BRKR,Bruker Corp,헬스케어 장비 및 용품,561010
ZNGA,Zynga Inc Class A,소프트웨어 및 IT서비스,572010
TXG,10X Genomics Inc,헬스케어 장비 및 용품,561010
ARCC,Ares Capital Corp,다양한 금융서비스,555010
WYNN,Wynn Resorts Ltd,호텔 및 엔터테인먼트,533010
CAR,Avis Budget Group Inc,운송업,524060
NWL,Newell Brands Inc,가정용품,532040
ZION,Zions Bancorporation NA,은행,551010
AZPN,Aspen Technology Inc,소프트웨어 및 IT서비스,572010
COUP,Coupa Software Inc,소프트웨어 및 IT서비스,572010
Z,Zillow Group Inc Class C,부동산 운영 관리,601010
LBTYK,Liberty Global PLC Class C,통신 서비스,574010
GDRX,Goodrx Holdings Inc Class A,소프트웨어 및 IT서비스,572010
DOX,Amdocs Ltd,소프트웨어 및 IT서비스,572010
CREE,Cree Inc,반도체 및 반도체 장비,571010
DBX,Dropbox Inc Class A,소프트웨어 및 IT서비스,572010
AXON,Axon Enterprise Inc,우주항공 및 국방,521010
UTHR,United Therapeutics Corp,생명과학 및 메디컬 리서치,562020
HTZ,Hertz Global Holdings Inc,운송업,524060
SYNH,Syneos Health Inc Class A,생명과학 및 메디컬 리서치,562020
FIVE,Five Below Inc,다양한 소매업,534020
CNXC,Concentrix Corp,전문 및 상업 서비스,522030
PTON,Peloton Interactive Inc Class A,레저 상품,532050
MKSI,MKS Instruments Inc,"건설장비 및 대형차, 기차, 배",521020
MNDY,Monday.Com Ltd,소프트웨어 및 IT서비스,572010
FOX,Fox Corp Class B,미디어 및 출판,533020
GTLB,GitLab Inc Class A,소프트웨어 및 IT서비스,572010
NVEI,Nuvei Corp,소프트웨어 및 IT서비스,572010
DISCK,Discovery Inc Series C,미디어 및 출판,533020
NWSA,News Corp Class A,미디어 및 출판,533020
JAZZ,Jazz Pharmaceuticals PLC,제약,562010
CBSH,Commerce Bancshares Inc,은행,551010
FIVN,Five9 Inc,소프트웨어 및 IT서비스,572010
FSLR,First Solar Inc,재생에너지,502010
WB,Weibo Corp ADR,미디어 및 출판,533020
MANH,Manhattan Associates Inc,소프트웨어 및 IT서비스,572010
ERIE,Erie Indemnity Co Class A,보험,553010
SEIC,SEI Investments Co,투자은행 및 서비스,551020
WSC,Willscot Mobile Mini Holdings Corp Class A,전문 및 상업 서비스,522030
CACC,Credit Acceptance Corp,은행,551010
PBCT,People's United Financial Inc,은행,551010
IPGP,IPG Photonics Corp,전자 장비 및 부품,571040
TNDM,Tandem Diabetes Care Inc,헬스케어 장비 및 용품,561010
GDS,GDS Holdings Ltd ADR,소프트웨어 및 IT서비스,572010
CHDN,Churchill Downs Inc,호텔 및 엔터테인먼트,533010
SYNA,Synaptics Inc,"컴퓨터, 전화 및 가전제품",571060
PNFP,Pinnacle Financial Partners Inc,은행,551010
AGNC,AGNC Investment Corp,주택 및 상업용 리츠,601020
FLEX,Flex Ltd,전자 장비 및 부품,571040
LECO,Lincoln Electric Holdings Inc,"건설장비 및 대형차, 기차, 배",521020
UPST,Upstart Holdings Inc,은행,551010
GNTX,Gentex Corp,자동차 및 자동차 부품,531010
TTEK,Tetra Tech Inc,전문 및 상업 서비스,522030
PEGA,Pegasystems Inc,소프트웨어 및 IT서비스,572010
DLO,Dlocal Ltd Class A,전문 및 상업 서비스,522030
PLTK,Playtika Holding Corp,소프트웨어 및 IT서비스,572010
ESLT,Elbit Systems Ltd,우주항공 및 국방,521010
LSCC,Lattice Semiconductor Corp,반도체 및 반도체 장비,571010
CHK,Chesapeake Energy Corp,오일 및 가스,501020
WIX,Wix.Com Ltd,소프트웨어 및 IT서비스,572010
PAA,Plains All American Pipeline Units,오일 및 가스 장비 및 서비스,501030
SAIA,Saia Inc,화물 및 물류 서비스,524050
GH,Guardant Health Inc,생명과학 및 메디컬 리서치,562020
MAT,Mattel Inc,레저 상품,532050
NBIX,Neurocrine Biosciences Inc,생명과학 및 메디컬 리서치,562020
BPOP,Popular Inc,은행,551010
LITE,Lumentum Holdings Inc,커뮤니케이션 및 네트워킹,571020
WWD,Woodward Inc,"건설장비 및 대형차, 기차, 배",521020
EVO,Evotec SE ADR,생명과학 및 메디컬 리서치,562020
NVCR,Novocure Ltd,헬스케어 장비 및 용품,561010
FFIN,First Financial Bankshares Inc,은행,551010
PENN,Penn National Gaming Inc,호텔 및 엔터테인먼트,533010
BOKF,BOK Financial Corp,은행,551010
FYBR,Frontier Communications Parent Inc,통신 서비스,574010
OLED,Universal Display Corp,반도체 및 반도체 장비,571010
FSV,FirstService Corp,부동산 운영 관리,601010
CASY,Caseys General Stores Inc,식품 및 약품소매,543010
RGLD,Royal Gold Inc,메탈&마이닝,512010
IIVI,II-VI Inc,전자 장비 및 부품,571040
AVGOP,Broadcom Inc Convertible Preference Shares Series A,반도체 및 반도체 장비,571010
PPC,Pilgrims Pride Corp,식품 및 담배,541020
FUTU,Futu Holdings Ltd ADR,핀테크,573010
LFUS,Littelfuse Inc,"건설장비 및 대형차, 기차, 배",521020
TWKS,Thoughtworks Holding Inc,소프트웨어 및 IT서비스,572010
SLAB,Silicon Laboratories Inc,반도체 및 반도체 장비,571010
OMCL,Omnicell Inc,헬스케어 장비 및 용품,561010
REYN,Reynolds Consumer Products Inc,가정용품,532040
EEFT,Euronet Worldwide Inc,전문 및 상업 서비스,522030
NXST,Nexstar Media Group Inc Class A,미디어 및 출판,533020
NVAX,Novavax Inc,생명과학 및 메디컬 리서치,562020
MQ,Marqeta Inc Class A,핀테크,573010
MRVI,Maravai LifeSciences Holdings Inc Class A,생명과학 및 메디컬 리서치,562020
COHR,Coherent Inc,전자 장비 및 부품,571040
MRTX,Mirati Therapeutics Inc,생명과학 및 메디컬 리서치,562020
DOOO,BRP Inc,레저 상품,532050
CHNG,Change Healthcare Inc,소프트웨어 및 IT서비스,572010
LSTR,Landstar System Inc,화물 및 물류 서비스,524050
OZK,Bank Ozk,은행,551010
ASND,Ascendis Pharma A/S ADR,생명과학 및 메디컬 리서치,562020
AUR,Aurora Innovation Inc Class A,소프트웨어 및 IT서비스,572010
NTLA,Intellia Therapeutics Inc,생명과학 및 메디컬 리서치,562020
CIGI,Colliers International Group Inc,부동산 운영 관리,601010
GT,Goodyear Tire & Rubber Co,자동차 및 자동차 부품,531010
CROX,Crocs Inc,섬유 및 의류,532020
VLY,Valley National Bancorp,은행,551010
RCM,R1 RCM Inc,헬스케어 업체 및 서비스,561020
NTRA,Natera Inc,헬스케어 장비 및 용품,561010
MEDP,Medpace Holdings Inc,생명과학 및 메디컬 리서치,562020
SHC,Sotera Health Co,전문 및 상업 서비스,522030
COLM,Columbia Sportswear Co,섬유 및 의류,532020
AZTA,Azenta Inc,반도체 및 반도체 장비,571010
OPEN,Opendoor Technologies Inc Class A,부동산 운영 관리,601010
NTNX,Nutanix Inc Class A,소프트웨어 및 IT서비스,572010
SSB,SouthState Corp,은행,551010
DSGX,Descartes Systems Group Inc,소프트웨어 및 IT서비스,572010
LEGN,Legend Biotech Corp ADR,생명과학 및 메디컬 리서치,562020
PACW,PacWest Bancorp,은행,551010
IART,Integra Lifesciences Holdings Corp,헬스케어 장비 및 용품,561010
ARNA,Arena Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
WTFC,Wintrust Financial Corp,은행,551010
SRPT,Sarepta Therapeutics Inc,생명과학 및 메디컬 리서치,562020
TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,533010
ROLL,RBC Bearings Inc,"건설장비 및 대형차, 기차, 배",521020
EXEL,Exelixis Inc,생명과학 및 메디컬 리서치,562020
FRSH,Freshworks Inc Class A,소프트웨어 및 IT서비스,572010
CYBR,Cyberark Software Ltd,소프트웨어 및 IT서비스,572010
WOOF,Petco Health and Wellness Company Inc Class A,전문품 상점,534030
SGMS,Scientific Games Corp,호텔 및 엔터테인먼트,533010
COKE,Coca-Cola Consolidated Inc,음료,541010
FOXF,Fox Factory Holding Corp,자동차 및 자동차 부품,531010
RUN,Sunrun Inc,재생에너지,502010
MLCO,Melco Resorts & Entertainment Ltd ADR,호텔 및 엔터테인먼트,533010
MIME,Mimecast Ltd,소프트웨어 및 IT서비스,572010
SRCL,Stericycle Inc,전문 및 상업 서비스,522030
NATI,National Instruments Corp,소프트웨어 및 IT서비스,572010
ARWR,Arrowhead Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
AMKR,Amkor Technology Inc,반도체 및 반도체 장비,571010
VG,Vonage Holdings Corp,통신 서비스,574010
PDCE,PDC Energy Inc,오일 및 가스,501020
VIRT,Virtu Financial Inc Class A,투자은행 및 서비스,551020
RPD,Rapid7 Inc,소프트웨어 및 IT서비스,572010
CCMP,CMC Materials Inc,반도체 및 반도체 장비,571010
NOVT,Novanta Inc,전자 장비 및 부품,571040
TENB,Tenable Holdings Inc,소프트웨어 및 IT서비스,572010
HELE,Helen of Troy Ltd,가정용품,532040
ANAT,American National Group Inc,보험,553010
CDK,CDK Global Inc,소프트웨어 및 IT서비스,572010
SLM,SLM Corp,은행,551010
ALGM,Allegro Microsystems Inc,반도체 및 반도체 장비,571010
ROIV,Roivant Sciences Ltd,생명과학 및 메디컬 리서치,562020
BL,Blackline Inc,소프트웨어 및 IT서비스,572010
HCM,HUTCHMED (China) Ltd ADR,제약,562010
ZD,Ziff Davis Inc,소프트웨어 및 IT서비스,572010
UBSI,United Bankshares Inc,은행,551010
RRR,Red Rock Resorts Inc Class A,호텔 및 엔터테인먼트,533010
UFPI,Ufp Industries Inc,종이 및 임산물,513010
AMBA,Ambarella Inc,반도체 및 반도체 장비,571010
PAAS,Pan American Silver Corp,메탈&마이닝,512010
TFSL,TFS Financial Corp,은행,551010
CRUS,Cirrus Logic Inc,반도체 및 반도체 장비,571010
DRVN,Driven Brands Holdings Inc,"개인, 가정 용품 및 서비스",542010
BRZE,Braze Inc Class A,소프트웨어 및 IT서비스,572010
ZLAB,Zai Lab Ltd ADR,제약,562010
UMBF,UMB Financial Corp,은행,551010
WEN,Wendys Co,호텔 및 엔터테인먼트,533010
QLYS,Qualys Inc,소프트웨어 및 IT서비스,572010
LAZR,Luminar Technologies Inc Class A,자동차 및 자동차 부품,531010
BCPC,Balchem Corp,식품 및 담배,541020
CRSP,CRISPR Therapeutics AG,생명과학 및 메디컬 리서치,562020
GLBE,Global-E Online Ltd,소프트웨어 및 IT서비스,572010
HALO,Halozyme Therapeutics Inc,생명과학 및 메디컬 리서치,562020
ACHC,Acadia Healthcare Company Inc,헬스케어 업체 및 서비스,561020
EXPO,Exponent Inc,전문 및 상업 서비스,522030
SWAV,Shockwave Medical Inc,헬스케어 장비 및 용품,561010
SMTC,Semtech Corp,반도체 및 반도체 장비,571010
POWI,Power Integrations Inc,반도체 및 반도체 장비,571010
ESGR,Enstar Group Ltd,보험,553010
LBTYA,Liberty Global PLC Class A,통신 서비스,574010
IRDM,Iridium Communications Inc,통신 서비스,574010
ALTR,Altair Engineering Inc Class A,소프트웨어 및 IT서비스,572010
PINC,Premier Inc Class A,헬스케어 업체 및 서비스,561020
HWC,Hancock Whitney Corp,은행,551010
SIGI,Selective Insurance Group Inc,보험,553010
SLGN,Silgan Holdings Inc,용기 및 포장,513020
HLNE,Hamilton Lane Inc Class A,투자은행 및 서비스,551020
KRNT,Kornit Digital Ltd,"건설장비 및 대형차, 기차, 배",521020
RARE,Ultragenyx Pharmaceutical Inc,생명과학 및 메디컬 리서치,562020
NCNO,nCino Inc,소프트웨어 및 IT서비스,572010
MTSI,MACOM Technology Solutions Holdings Inc,반도체 및 반도체 장비,571010
CHX,ChampionX Corp,오일 및 가스 장비 및 서비스,501030
LSXMA,Liberty Media Corp Series A,미디어 및 출판,533020
ICUI,ICU Medical Inc,헬스케어 장비 및 용품,561010
STNE,StoneCo Ltd Class A,핀테크,573010
LANC,Lancaster Colony Corp,식품 및 담배,541020
MXL,Maxlinear Inc,반도체 및 반도체 장비,571010
DISCA,Discovery Inc Series A,미디어 및 출판,533020
UMPQ,Umpqua Holdings Corp,은행,551010
JBLU,JetBlue Airways Corp,운송업,524060
VIR,Vir Biotechnology Inc,생명과학 및 메디컬 리서치,562020
QDEL,Quidel Corp,헬스케어 장비 및 용품,561010
AMED,Amedisys Inc,헬스케어 업체 및 서비스,561020
NWS,News Corp Class B,미디어 및 출판,533020
BEAM,Beam Therapeutics Inc,생명과학 및 메디컬 리서치,562020
CRCT,Cricut Inc Class A,통합 하드웨어 및 소프트웨어,571070
OCDX,Ortho Clinical Diagnostics Holdings PLC,헬스케어 장비 및 용품,561010
VNOM,Viper Energy Partners LP Unit,오일 및 가스,501020
